Firm
PEYTO EXPLORATION & DEVELPMT
PEYTO EXPLORATION AND DEVELPMT
FARMERS & MERCHANTS BCP/OH
FARMERS AND MERCHANTS BCP/OH
INDUSTRIAL ALLIANCE INS &FIN
SEARS HOMETOWN & OUTLET STR
SEARS HOMETOWN AND OUTLET STR
AVINO SILVER&GOLD MINES
INNOVATIVE SOLTNS & SUPP
INNOVATIVE SOLTNS AND SUPP
ISHARES S&P MID-CAP 400 GRTH
ISHARES S AND P MID-CAP 400 GRTH
ISHARES S&P MID-CAP 400 VAL
ISHARES S AND P MID-CAP 400 VAL
ISHARES S&P SMCP 600 VAL ETF
ISHARES S AND P SMCP 600 VAL ETF
ISHARES S&P SM-CAP 600 GWTH
ISHARES S AND P SM-CAP 600 GWTH
SPDR S&P 600 SMALL CAP GR
SPDR S AND P 600 SMALL CAP GR
ISHARES S&P/TSX COMPLTN IDX
ISHARES S AND P/TSX COMPLTN IDX
ISHARES S&P/TSX CAP ENERGY
ISHARES S AND P/TSX CAP ENERGY
ISHARES S&P/TSX CAP IT ETF
ISHARES S AND P/TSX CAP IT ETF
ISHARES S&P/TSX CAP FINS IDX
ISHARES S AND P/TSX CAP FINS IDX
PIMCO & INCM STRGY FUND
PIMCO AND INCM STRGY FUND
ROCHESTER GAS & ELECTRC
ROCHESTER GAS AND ELECTRC
A&W REVENUE ROYALTIES FD
A AND W REVENUE ROYALTIES FD
COHEN & STEERS QTY INCM RLTY
COHEN AND STEERS QTY INCM RLTY
BOULDER GROWTH & FUND
BOULDER GROWTH AND FUND
ISHARES S&P/TSX CAP REIT IDX
ISHARES S AND P/TSX CAP REIT IDX
PIMCO & INCM OPPTY FUND
PIMCO AND INCM OPPTY FUND
VIRTUS GLOBAL DIV & INCM FD
VIRTUS GLOBAL DIV AND INCM FD
FLAHERTY & CRUMRINE PFD SECS
FLAHERTY AND CRUMRINE PFD SECS
ALLIANZGI CONV & INCOME FUND
ALLIANZGI CONV AND INCOME FUND
INVESCO S&P 500 EQUAL WT ETF
INVESCO S AND P 500 EQUAL WT ETF
ADVENT CLAYMORE CV SECS & IN
ADVENT CLAYMORE CV SECS AND IN
CALAMOS CONV & HIGH INCM FD
CALAMOS CONV AND HIGH INCM FD
COHEN & STEERS REIT & PFD FD
COHEN AND STEERS REIT AND PFD FD
ALLIANZGI CONV & INCM FD II
ALLIANZGI CONV AND INCM FD II
FLAHERTY & CRUMRINE TOT RET
FLAHERTY AND CRUMRINE TOT RET
CENTRAL HUDSON GAS & ELECTR
CENTRAL HUDSON GAS AND ELECTR
ISHARES CORE S&P TOT U S MKT
ISHARES CORE S AND P TOT U S MKT
ANZ-AUSTRALIA & NEW ZEALD BK
ANZ-AUSTRALIA AND NEW ZEALD BK
INVESCO S&P 500 HI DIV LO VL
INVESCO S AND P 500 HI DIV LO VL
WELLS FARGO UTIL & HI INCOME
WELLS FARGO UTIL AND HI INCOME
GABELLI GLOBAL UTIL &INCM TR
GABELLI GLOBAL UTIL  AND INCM TR
FIRST TRUST ENERGY INCM & GR
FIRST TRUST ENERGY INCM AND GR
CLOUGH GBL DIV & INCOME FD
CLOUGH GBL DIV AND INCOME FD
MADISON CVD CALL & EQ STRTGY
